,TotalPopulation,Birthrate,Size,GDP,PopulationDensity,"School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",PISA: Mean performance on the science scale,PISA: Mean performance on the reading scale,PISA: Mean performance on the mathematics scale,"Hospital beds (per 1,000 people)","Stillbirth rate (per 1,000 total births)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Labor force, total",People using at least basic sanitation services (% of population)
0,0.08277458712711161,0.0024845735413416186,1.0000000000000002,0.042923693953578854,0.0024845735413416186,0.1359238067852917,0.19571705689638452,0.8469490458736697,0.9361973801233301,0.8762996253503079,0.15165876777251186,0.3715376994840608,0.12698412698412698,0.43172736273305246,0.4363734679163662,0.41666666666666785,0.46031746031746223,0.49442710655372224,0.09155362157595523,0.8615919400130565
1,0.8951828911221926,0.0781039930882534,0.9385120284601124,0.6033501483346076,0.0781039930882534,0.04835079167838874,0.4111436189662253,0.2534547527708959,0.3798192816537451,0.14934530524040213,0.16745655608214854,0.3768458803420619,0.16190476190476177,0.9999999999999998,0.9862563085796683,0.0,0.0,0.0,0.9120533937942661,0.9185992793992312
2,0.16966295781973975,0.6517682583074114,0.021335038218261305,0.1077229860786427,0.6517682583074114,0.1916113933554333,0.0947665274260584,0.5335417303063394,0.33800314466980375,0.44580450275799777,0.24960505529225913,0.8653291092595877,0.9999999999999998,0.4688845681294955,0.5370854361932227,0.18333333333333535,0.3174603174603181,0.2853321444493968,0.17123528695606074,0.3549102166684861
3,0.17823578317577338,0.2974519796406441,0.05235679780336668,0.09125045624367896,0.2974519796406441,0.21039660706702468,0.020540324255596487,0.22700443996901498,0.2932567106655011,0.444383876660849,0.8025276461295419,0.9999999999999999,0.8476190476190475,0.8165400260040794,0.42855533525594813,0.6166666666666671,0.26984126984127066,0.48907712884528287,0.15968060925299213,0.008648281085513077
4,0.23776113887088055,0.6169400714213036,0.032809055767940624,0.12194081024353891,0.6169400714213036,0.1481975438823171,0.23152410242099453,0.5971714498736773,0.4150276264789561,0.6551776405985965,1.0,0.23160210392854175,0.8838095238095234,0.6402013526892751,0.45009462869502537,0.283333333333335,0.19047619047619158,0.2639322336156926,0.23473757180034432,0.42690469158620203
5,0.01114018311856135,0.05105852180385718,0.042170083569231784,0.006034872536246648,0.05105852180385718,0.17279097449640557,0.4304020770965439,0.20982596911578355,0.3542567481631842,0.4287952060011069,0.12480252764612954,0.3961987830992827,0.0,0.25608054107571,0.3006263518385004,0.45000000000000107,0.5396825396825413,0.5590726705305258,0.011230757132194343,0.2914016316230743
6,0.04621104494225815,0.0,0.7696791948517512,0.02034166828378021,0.0,0.7630284184593421,0.9172151863623904,0.6627977189067948,0.58821498570153,0.6117697584448099,0.27804107424960506,0.31873875177521216,0.6552380952380952,0.3257786313265658,0.22219718817591927,0.533333333333335,0.5555555555555554,0.6130182790904879,0.04696635437605242,1.0
7,0.0,0.33001898946820907,0.0012623890637686302,0.0,0.33001898946820907,0.4496556377934131,0.4073428566638603,0.2588425212671748,0.319622065729833,0.6576461220552705,0.2717219589257504,0.22986615987258474,0.6952380952380948,0.632280844059022,0.7104812545061283,0.016666666666669272,0.0952380952380949,0.06509139545251585,0.00023824020991021835,0.7068103382572275
8,0.015611651440298382,0.9061156688513026,0.0,0.005720865441800241,0.9061156688513026,0.9441216310439362,0.12571082581753423,0.396952085863278,0.4129374470257119,0.7565970662333417,0.679304897314376,0.4735848647646924,0.8552380952380954,0.6701537580666324,0.550446106705119,0.3000000000000025,0.19047619047619158,0.2728488631297381,0.010854011857369311,0.6234981380609668
18,0.08476576980736232,0.0026744818754184463,1.0000000000000002,0.05689295081490825,0.0026744818754184463,0.14300151708888786,0.16242527622780623,0.8469490458736697,0.9361973801233301,0.8762996253503079,0.12954186413902052,0.42118679489438293,0.12698412698412698,0.401106962651939,0.39928803172314353,0.46666666666666856,0.5238095238095237,0.5586268390548295,0.09496468341024056,0.7802841451752727
19,0.9128170492353948,0.07974980434249836,0.9385120284601124,0.67020425799708,0.07974980434249836,0.08713372812287301,0.511503321239101,0.2534547527708959,0.3798192816537451,0.14934530524040213,0.1579778830963665,0.3788020378096123,0.18952380952380943,0.9598726038672121,0.9398431867339581,0.08333333333333393,0.07936507936507908,0.0913954525189471,0.9319232499191483,0.9182335977282889
20,0.17250577601495004,0.6618160622785918,0.021335038218261305,0.13424099904082232,0.6618160622785918,0.07793987487837528,0.08788104326914992,0.5335417303063394,0.33800314466980375,0.44580450275799777,0.19747235387045808,0.8068643655457727,0.6690476190476191,0.47025634296756635,0.5018249819754868,0.25,0.3809523809523814,0.35844850646455306,0.17548995386911628,0.35306879796264923
21,0.1808182027458215,0.3014848035700107,0.05235679780336668,0.11303194949869004,0.3014848035700107,0.2091787619361556,0.0068917779162893655,0.22700443996901498,0.2932567106655011,0.444383876660849,0.777251184834123,0.960835052763313,0.7571428571428569,0.7471282191976905,0.38486842105263164,0.783333333333335,0.41269841269841123,0.6625055728934353,0.1621837185834446,0.007543033894791051
22,0.23713456644371048,0.6155644993417347,0.032809055767940624,0.1491236229185548,0.6155644993417347,0.14768222063108127,0.23152410242099453,0.5971714498736773,0.4150276264789561,0.6551776405985965,0.9636650868878356,0.164484377772956,0.8252380952380951,0.5733064544988249,0.3956605984138428,0.36666666666666714,0.3015873015873023,0.37405260811412333,0.23854954359688196,0.42780021013057024
23,0.011505912564846503,0.05182064971494268,0.042170083569231784,0.01071320573509732,0.05182064971494268,0.14968016545154716,0.32649333504805533,0.20982596911578355,0.3542567481631842,0.4287952060011069,0.11374407582938384,0.37499556991083727,0.0776190476190477,0.232545656245154,0.22122837058399436,0.4833333333333343,0.6190476190476204,0.6237182345073489,0.012060386936155305,0.32694627558603884
24,0.047546580753532325,0.000148653817851346,0.7696791948517512,0.027847079496177655,0.000148653817851346,0.7630284184593421,0.9172151863623904,0.6627977189067948,0.58821498570153,0.6117697584448099,0.2641102972856528,0.34316301310125763,0.5357142857142858,0.3172139849462621,0.23400324441240095,0.6000000000000014,0.6349206349206344,0.6954971020954055,0.049473836713720916,1.0
25,0.00012962226730217977,0.33263126134235194,0.0012623890637686302,0.0025960941927715836,0.33263126134235194,0.3758687054592962,0.38073584963774165,0.2588425212671748,0.319622065729833,0.6576461220552705,0.24486571879936808,0.14056183821394563,0.4452380952380952,0.6894778905681533,0.7159787310742609,0.0666666666666682,0.15873015873015817,0.12929112795362663,0.00044041992954675646,0.7068106657489039
26,0.0160655206956811,0.9189326777788341,0.0,0.009724563141543241,0.9189326777788341,0.9389287663894876,0.12738479872195396,0.396952085863278,0.4129374470257119,0.7565970662333417,0.6524486571879935,0.45586953677792785,0.6128571428571432,0.6100342347285674,0.570678622927181,0.41666666666666785,0.33333333333333215,0.4195274186357505,0.011447376949784777,0.6238450633904762
45,0.08820910698969052,0.003002888924378129,1.0000000000000002,0.06390909055203978,0.003002888924378129,0.14984016968459124,0.13403858341846042,0.8469490458736697,0.9361973801233301,0.8762996253503079,0.10110584518167454,0.3552422280211506,0.27809523809523795,0.3250748511922512,0.33608958183129056,0.5666666666666682,0.6507936507936503,0.687026304057051,0.09876568905022112,0.6583504795073623
46,0.937799517936374,0.08222265484389497,0.9385120284601124,0.6957227171961489,0.08222265484389497,0.08713372812287301,0.511503321239101,0.2534547527708959,0.3798192816537451,0.14934530524040213,0.1437598736176935,0.37202813028102233,0.137142857142857,0.8797013109396059,0.8882930785868781,0.15000000000000213,0.19047619047619158,0.19259919750334653,0.9434595059470636,0.9029536548666499
47,0.1769613740486155,0.6775641589004839,0.021335038218261305,0.10518533133868907,0.6775641589004839,0.15683355628170492,0.09414238700460031,0.5335417303063394,0.33800314466980375,0.44580450275799777,0.12480252764612954,0.6910416495166828,0.6514285714285715,0.393353452697625,0.4441240086517664,0.3833333333333364,0.5555555555555554,0.5327686134640945,0.18002973473656264,0.3503835225242824
48,0.18393880806965174,0.30635808286591437,0.05235679780336668,0.112342079035111,0.30635808286591437,0.2054680972324061,0.035132043350299846,0.22700443996901498,0.2932567106655011,0.444383876660849,0.6777251184834121,0.9454546238182987,0.7161904761904763,0.686352629632722,0.35886806056236487,0.8666666666666671,0.5079365079365079,0.7632634864021242,0.1657730033971355,0.005862197754964882
49,0.23562424454319833,0.6120380796849973,0.032809055767940624,0.14794853972128713,0.6120380796849973,0.1716184533577645,0.23152410242099453,0.5971714498736773,0.4150276264789561,0.6551776405985965,0.9652448657187993,0.10596341153326128,0.7619047619047621,0.5224315007216729,0.35017123287671237,0.41666666666666785,0.3968253968253972,0.4569772625947355,0.23920528061599539,0.42911884792002297
50,0.012215752317181635,0.05329985433778013,0.042170083569231784,0.010928616094270715,0.05329985433778013,0.09073462707682678,0.3094981796275672,0.20982596911578355,0.3542567481631842,0.4287952060011069,0.09320695102685622,0.33760686147635843,0.16190476190476177,0.1637422017582575,0.12139509733237219,0.5666666666666682,0.7142857142857153,0.724476148016036,0.012785596667110408,0.3792425504575476
51,0.05126235119518159,0.0005622432235022476,0.7696791948517512,0.04171817135873271,0.0005622432235022476,0.7630284184593421,0.9172151863623904,0.6627977189067948,0.58821498570153,0.6117697584448099,0.259083728278041,0.3285438886552493,0.7142857142857142,0.24450991852850312,0.1795917447728912,0.6500000000000021,0.7142857142857153,0.7690592955862581,0.05389542406445443,1.0
52,0.000395757401413413,0.3379946710406204,0.0012623890637686302,0.0027175871481034744,0.3379946710406204,0.38606428481006816,0.30838212342864024,0.2588425212671748,0.319622065729833,0.6576461220552705,0.21484992101105843,0.04903994486441199,0.4495238095238092,0.5572149392244103,0.5693943763518385,0.18333333333333535,0.33333333333333215,0.29469460543913684,0.00023155531915900612,0.7068082988772488
53,0.01689833589429834,0.942450904028064,0.0,0.010226594284621332,0.942450904028064,0.9022795754596493,0.2241706203636069,0.396952085863278,0.4129374470257119,0.7565970662333417,0.6287519747235386,0.41490724483379415,0.5257142857142856,0.5235766344995407,0.48499459264599865,0.4833333333333343,0.3968253968253972,0.49264378065090675,0.012501601957923155,0.6240974180556407
90,0.09344886018452409,0.0035026285063231117,1.0000000000000002,0.06103530111636361,0.0035026285063231117,0.2597853181675749,0.17975472495630895,0.8638017561954321,0.9921354278889574,0.8020209055506236,0.07582938388625593,0.3197849960623341,0.04571428571428582,0.2763589517254542,0.2945430785868781,0.6500000000000021,0.7777777777777786,0.8065091395452431,0.10333213608754421,0.4521353424848371
91,0.9730142491827348,0.08551448599585798,0.9385120284601124,0.8490736100572854,0.08551448599585798,0.0842722690212927,0.5316657692953953,0.23038548896709266,0.31138392252960756,0.0,0.10426540284360186,0.39000861097933603,0.22476190476190472,0.9088067944604155,0.9619908074981975,0.18333333333333535,0.20634920634920562,0.2197949175211651,0.9605935965254128,0.8320650374650427
92,0.18421256205292666,0.7031931336088363,0.021335038218261305,0.12717356982410782,0.7031931336088363,0.45551740024952814,0.05815383540861219,0.49168784365773277,0.33512220263052583,0.3982315459915764,0.07424960505529221,0.38570997875571844,0.4895238095238097,0.31550821275631313,0.36833093006488826,0.45000000000000107,0.6666666666666679,0.6339723584484975,0.1885863704337349,0.3460657531832254
93,0.18863159639937446,0.3136865546956134,0.05235679780336668,0.10268626177587445,0.3136865546956134,0.16362203627204974,0.15053848124233993,0.2049218421647172,0.36566966917242993,0.4059330129576022,0.6303317535545023,0.8802876942427235,0.7619047619047621,0.5183400331611656,0.262346791636626,0.9166666666666679,0.6666666666666679,0.8836379848417213,0.16868478401313697,0.002969307480157113
94,0.23534553784509646,0.6108403448200481,0.032809055767940624,0.14605337077675767,0.6108403448200481,0.10043775598173843,0.22297135286808423,0.49005912051864975,0.5900019110983532,0.6333850953900502,0.9462875197472354,0.19818609620985184,0.8419047619047617,0.4093256832035117,0.2802811824080751,0.5,0.5238095238095237,0.576460098082908,0.24343281653602955,0.4296460946319911
95,0.013515060793833907,0.056476180258202516,0.042170083569231784,0.011367528135643783,0.056476180258202516,0.675361740795458,0.14318776016409962,0.17361170340202214,0.38511958135002367,0.42332100479286616,0.04739336492890994,0.310795258502088,0.09333333333333349,0.10493481087399958,0.049950432588320326,0.6666666666666679,0.8571428571428577,0.8622380740080171,0.014276675921988634,0.4611115394966987
96,0.05676818089385739,0.0011750778612845464,0.7696791948517512,0.051305175797562275,0.0011750778612845464,0.9065090417675332,0.9656176937738511,0.507238223789102,0.44796832640887807,0.4229393299194655,0.26540284360189564,0.12724005397351634,0.41714285714285704,0.24009638209297046,0.1682588320115357,0.7333333333333343,0.8571428571428577,0.8979045920641902,0.05935040500713363,1.0
97,0.0008148095344333584,0.36791158266952606,0.0012623890637686302,0.0018048170584117496,0.36791158266952606,0.534651193407069,0.43296670049886943,0.3450302839671959,0.3773121416177574,0.722552362731701,0.06161137440758291,0.01728333492966716,0.3276190476190475,0.2959335822408835,0.307858687815429,0.43333333333333535,0.6031746031746028,0.5876058849754635,0.0002783984831695417,0.7068028803786035
98,0.018066652006836496,0.9754434847481535,0.0,0.009338400904680352,0.9754434847481535,1.0,0.3224438300076736,0.34629460798616485,0.34776750751067276,0.6510414796020445,0.5829383886255923,0.38304711575408457,0.6057142857142856,0.37179869502463236,0.3649963950973325,0.5500000000000025,0.5873015873015888,0.6406598305840365,0.013062068580667299,0.62411665074859
